matchId,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess,korea
627fb7816abb7b13aa211e3e,202205,패,0,0,0,0,0,0,80,0,52,0,3.76667,gamepad,4,3,0,1,1,0,0,0,0,0,3,1,1,0,0,0,120,113,92,91,5,4,0,0,3,2,18,16,1,0,2,0,8,2,Y
627fb7816abb7b13aa211e3e,202205,승,0,0,0,0,0,0,84,1,48,1,4.06667,gamepad,4,3,0,2,2,0,0,0,0,0,4,2,0,0,0,0,111,103,87,83,5,2,0,0,3,3,15,14,1,1,6,0,10,2,N
62611917223728594326b364,202204,승,0,0,1,1,0,0,72,2,42,0,4.08333,gamepad,3,3,0,2,2,0,0,0,0,0,3,2,0,0,0,0,97,89,65,62,6,3,0,0,1,1,23,21,2,2,10,0,14,6,N
62611917223728594326b364,202204,패,0,0,0,0,0,0,102,0,58,0,3.87222,gamepad,3,2,0,1,1,0,1,0,0,0,3,1,0,0,0,0,135,126,117,113,4,2,0,0,3,1,10,10,1,0,6,0,15,7,N
6277f6877dcc2bd664244aa1,202205,승,0,0,0,0,0,0,79,0,53,2,4.09444,gamepad,7,4,0,2,2,0,1,0,0,0,6,2,0,0,0,0,91,80,72,66,3,2,0,0,0,0,13,12,1,0,7,1,14,7,N
6277f6877dcc2bd664244aa1,202205,패,0,0,0,0,0,0,86,2,47,0,3.98889,keyboard,4,4,0,1,1,0,0,0,0,0,3,1,0,0,0,0,117,107,84,82,3,2,1,1,0,0,25,21,1,1,7,1,13,5,N
61f0cda618b9295bcbe2bffe,202201,승,0,0,0,0,0,0,82,2,56,1,4.65556,gamepad,9,6,0,3,3,0,1,1,0,0,9,3,0,0,0,0,110,100,80,75,2,2,0,0,1,1,23,21,1,1,5,0,10,8,N
61f0cda618b9295bcbe2bffe,202201,패,0,0,1,1,0,0,75,1,44,1,3.3,keyboard,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,115,101,78,75,7,5,0,0,15,13,9,6,4,2,9,0,17,8,N
6277ca95118c4561ed6004ae,202205,무,0,0,0,0,0,0,107,2,56,0,4.01667,gamepad,10,6,0,1,1,0,1,0,0,0,9,1,1,0,0,0,132,127,111,109,6,4,0,0,6,6,9,8,0,0,1,0,5,2,N
6277ca95118c4561ed6004ae,202205,무,0,1,0,1,0,0,70,1,44,0,4.37222,gamepad,3,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0,106,100,85,81,5,4,0,0,2,2,12,12,2,1,10,3,4,3,N
